	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3
OTU_2265	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_183	7	15	8	29	30	22	11	19	31	41	39	13	13	16	15	28	35	26
OTU_213	2	6	3	8	22	11	10	12	12	25	18	8	7	10	7	20	17	16
OTU_394	8	11	10	3	4	7	9	8	12	14	9	4	5	18	7	11	7	11
OTU_587	1	1	1	16	11	19	3	5	9	22	10	3	4	1	3	15	8	21
OTU_2867	0	0	1	6	6	1	0	4	6	6	5	1	0	2	3	5	6	3
OTU_997	1	1	3	2	1	6	0	0	1	2	2	1	1	0	4	2	2	0
OTU_938	4	1	0	3	3	5	0	6	1	0	1	0	0	2	1	1	2	3
OTU_3591	1	0	0	1	0	0	1	0	0	2	0	1	1	0	0	7	3	5
OTU_1970	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	2	1	1
OTU_2276	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	0
OTU_234	16	34	9	12	21	17	4	10	11	20	19	8	14	21	25	15	19	23
OTU_1900	0	0	0	1	1	1	0	0	0	2	3	1	1	1	0	0	0	2
OTU_3259	3	1	3	0	1	1	1	0	2	6	0	0	2	0	1	2	0	0
OTU_917	1	2	2	0	3	0	0	3	2	3	0	0	0	4	7	2	0	3
OTU_2858	0	1	0	0	2	0	1	1	1	1	0	0	1	1	2	0	1	0
OTU_1419	0	0	0	0	0	0	0	1	1	2	1	0	1	1	3	0	0	1
OTU_3295	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
OTU_3473	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_31	264	264	194	176	91	155	276	261	284	216	112	62	115	175	130	134	163	182
OTU_43	1064	1246	877	451	292	528	802	929	974	648	447	169	893	944	1042	494	486	554
OTU_454	5	9	1	6	8	4	1	2	3	29	14	3	2	10	4	23	27	24
OTU_681	7	4	5	14	7	26	7	3	2	16	4	7	1	2	1	9	10	4
OTU_1226	1	4	3	7	1	1	2	3	0	5	5	3	11	6	17	7	10	4
OTU_588	2	0	0	6	7	6	6	10	5	5	9	2	2	4	5	13	10	5
OTU_1223	2	1	1	0	0	1	1	3	0	0	1	0	7	0	4	1	2	1
OTU_2921	2	1	0	1	1	0	0	2	1	0	0	0	5	3	2	0	0	5
OTU_1316	2	0	0	1	0	2	2	1	0	3	1	0	0	0	0	0	2	1
OTU_2150	1	0	0	1	0	1	0	0	1	2	4	1	0	0	0	2	0	0
OTU_1602	0	0	0	4	2	9	0	0	0	5	4	3	0	0	0	1	0	0
OTU_3978	0	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0
OTU_1246	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0
OTU_481	11	5	3	5	0	2	5	8	10	1	5	0	9	11	12	3	3	8
OTU_58	26	12	17	397	128	391	40	25	28	473	146	113	10	9	4	188	225	268
OTU_270	26	40	14	20	10	19	14	15	13	29	31	9	55	40	45	22	18	31
OTU_2700	124	119	86	51	44	63	56	98	94	73	69	24	150	129	203	64	49	43
OTU_92	99	163	76	43	56	37	39	59	62	80	82	20	167	166	243	75	75	98
OTU_1804	1	0	0	2	0	0	0	0	0	0	0	1	2	0	1	1	0	1
OTU_3476	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
OTU_2730	3	1	3	9	4	11	6	1	0	18	8	1	2	0	3	1	6	6
OTU_177	611	648	412	538	379	583	757	777	813	794	498	195	336	392	431	378	402	425
OTU_9	840	781	513	460	283	500	746	620	640	726	342	187	520	586	617	336	370	384
OTU_3170	41	50	22	21	14	29	47	42	44	36	16	8	37	24	40	21	15	13
OTU_20	598	386	404	317	174	368	700	428	500	470	190	142	151	251	155	266	275	319
OTU_660	143	133	121	216	99	209	220	152	178	226	130	80	66	76	72	143	116	134
OTU_2255	0	1	0	3	1	0	1	1	0	1	0	0	1	0	0	0	0	3
OTU_1752	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	2	0	1
OTU_12	450	448	288	783	518	837	440	456	495	1053	619	295	303	366	353	602	708	668
OTU_3794	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_3175	2	3	1	0	0	1	1	0	1	6	7	2	16	15	20	0	7	1
OTU_114	183	193	101	71	35	83	173	129	161	91	68	32	90	81	58	87	72	68
OTU_1954	3	0	1	10	4	10	4	2	0	11	1	1	1	3	0	1	2	8
OTU_552	1	0	0	12	1	14	1	0	0	13	2	3	1	3	1	6	9	4
OTU_1631	0	0	0	6	0	6	1	0	0	12	6	5	0	0	1	6	5	3
OTU_314	23	33	22	93	80	85	44	37	40	104	65	37	40	51	50	72	55	63
OTU_1165	0	0	0	0	0	0	0	0	0	0	0	0	5	5	13	0	0	0
OTU_106	5	2	1	74	39	58	10	17	11	47	42	13	9	9	5	56	61	61
OTU_2127	0	0	0	3	1	2	1	0	0	4	2	0	0	0	3	6	5	6
OTU_371	19	24	14	117	86	85	14	20	18	106	86	39	15	23	22	77	87	72
OTU_3699	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	1
OTU_2	252	358	170	1139	931	1294	174	255	262	1561	1337	451	72	60	97	1024	1108	980
OTU_331	3	6	8	88	49	86	7	12	10	85	78	29	6	7	5	36	66	65
OTU_204	14	30	13	11	12	15	5	5	4	42	25	14	5	7	8	27	34	32
OTU_268	11	19	15	21	8	22	27	12	23	17	11	5	9	11	17	18	25	15
