Query_id	tax
total_10059079	k__Bacteria
total_10059157	k__Bacteria
total_10059251	k__Bacteria
total_10059452	k__Bacteria
total_10059453	k__Bacteria
total_10059458	k__Bacteria
total_10059848	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae
total_10060118	k__Bacteria
total_10060859	k__Bacteria;p__Bacteroidetes
total_10060878	k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Unclassified;f__Unclassified;g__Pyrinomonas;s__Pyrinomonas_methylaliphatogenes
total_1006097	k__Bacteria
total_1006159	k__Bacteria
total_1006187	k__Bacteria;p__Proteobacteria
total_10061900	k__Bacteria
total_10062814	k__Bacteria
total_10062832	k__Bacteria;p__Proteobacteria
total_10063173	k__Bacteria;p__Proteobacteria
total_10063619	Unclassified
total_10063758	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10063823	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10063839	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10064028	Unclassified
total_10064197	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10064285	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
total_10064313	k__Bacteria
total_1006534	k__Bacteria;p__Proteobacteria
total_10065422	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria
total_10066038	k__Bacteria;p__Cyanobacteria;c__Unclassified
total_10066039	k__Bacteria
total_10066471	k__Bacteria
total_10066558	k__Bacteria
total_10067561	k__Eukaryota
total_10067926	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter
total_10068160	k__Bacteria
total_10068799	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10068871	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
total_10068880	k__Bacteria
total_10069166	k__Bacteria
total_10069394	k__Bacteria
total_1006956	k__Bacteria
total_10070584	k__Bacteria;p__Proteobacteria
total_10070630	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_1007097	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10071442	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10071744	k__Bacteria
total_10072182	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10072375	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae
total_10072557	k__Bacteria;p__Bacteroidetes
total_10072634	Unclassified
total_1007276	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10072945	k__Bacteria;p__Proteobacteria
total_1007403	k__Bacteria
total_10074302	k__Bacteria
total_10074407	k__Bacteria;p__Proteobacteria
total_10074493	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae
total_10074494	Unclassified
total_10074495	Unclassified
total_10074503	k__Bacteria
total_10074506	Unclassified
total_10074692	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
total_10075080	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10075738	k__Bacteria
total_10076052	k__Bacteria
total_10076285	k__Bacteria
total_10076496	k__Bacteria
total_10076627	Unclassified
total_10076858	k__Bacteria
total_10077115	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10077345	k__Bacteria
total_10077350	k__Bacteria
total_1007751	k__Bacteria
total_10077709	k__Bacteria
total_10077738	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10077917	k__Bacteria
total_10079141	Unclassified
total_10079183	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10079311	k__Bacteria
total_1007943	k__Bacteria
total_10080632	k__Bacteria
total_1008090	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_1008207	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10082086	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10082321	k__Bacteria;p__Proteobacteria
total_10082693	k__Bacteria;p__Bacteroidetes
total_10082755	k__Bacteria
total_10083762	k__Bacteria
total_1008476	k__Bacteria
total_1008477	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10084991	k__Bacteria
total_10085118	k__Bacteria
total_10085192	k__Bacteria
total_10085205	k__Bacteria
total_1008532	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1008533	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_1008535	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae
total_10085422	k__Bacteria
total_10085813	k__Bacteria
total_10086048	k__Bacteria
total_10086242	k__Bacteria
total_10086252	k__Bacteria
total_10086428	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales
total_10086669	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10086769	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
total_10086774	k__Bacteria
total_10086955	k__Bacteria
total_10087384	k__Bacteria
total_10087568	k__Bacteria
total_10087840	Unclassified
total_10088025	k__Bacteria
total_10088840	k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter;s__Candidatus_Solibacter_usitatus
total_10089102	k__Bacteria
total_10089473	k__Bacteria
total_10089475	Unclassified
total_10089658	k__Bacteria;p__Bacteroidetes
total_10089790	k__Bacteria;p__Proteobacteria
total_10090004	k__Bacteria
total_1009013	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae
total_10090204	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
total_1009022	k__Bacteria
total_1009024	k__Bacteria
total_10090249	k__Bacteria
total_10090331	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae
total_10090423	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10090604	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10090729	k__Bacteria
total_10090745	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae
total_10090864	k__Bacteria;p__Proteobacteria
total_1009087	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__Arthrobacter_sp._H41
total_10091060	k__Bacteria
total_10091230	k__Bacteria
total_100918	Unclassified
total_10092103	k__Bacteria
total_10092210	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium
total_10092376	k__Bacteria
total_10092512	k__Bacteria;p__Acidobacteria;c__Unclassified;o__Unclassified;f__Unclassified;g__Thermoanaerobaculum;s__Thermoanaerobaculum_aquaticum
total_10092958	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10093355	k__Bacteria
total_10093543	k__Bacteria;p__Bacteroidetes
total_10094470	k__Bacteria
total_10094925	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
total_10095125	k__Bacteria;p__Firmicutes
total_100956	k__Bacteria
total_10096051	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria
total_10096219	k__Bacteria
total_1009631	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
total_10096533	k__Bacteria
total_10097193	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales
total_10097647	k__Bacteria;p__Proteobacteria
total_10097982	k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatirosa;s__Gemmatirosa_kalamazoonesis
total_10098079	k__Bacteria
total_10098268	k__Bacteria
total_10099726	k__Bacteria
total_1009982	k__Bacteria;p__Proteobacteria
total_10100094	k__Bacteria;p__Proteobacteria
total_10100097	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Pelomonas;s__Pelomonas_sp._Root1444
total_1010103	k__Bacteria
